experiment,run,repetition,restoreTime [s],numberOfLazyPages,lazyPagesTxTime [s],lazyPagesTxEndTime [s]
2,24,1,"['real 0.36', 'user 0.03', 'sys 0.05']",67.0,0.05193700000000001,0.302022
2,24,2,"['real 0.26', 'user 0.04', 'sys 0.05']",67.0,0.025668999999999997,0.241613
2,24,3,"['real 0.24', 'user 0.06', 'sys 0.02']",70.0,0.035246,0.244151
2,24,4,,,,
2,24,5,"['real 0.26', 'user 0.03', 'sys 0.06']",70.0,0.03229000000000001,0.249232
2,24,6,"['real 0.27', 'user 0.03', 'sys 0.05']",72.0,0.029292999999999986,0.273798
2,24,7,"['real 0.25', 'user 0.03', 'sys 0.05']",70.0,0.030127999999999988,0.240587
2,24,8,"['real 0.26', 'user 0.02', 'sys 0.06']",67.0,0.029176000000000007,0.25412
2,24,9,"['real 0.27', 'user 0.04', 'sys 0.05']",66.0,0.026410000000000017,0.263465
2,24,10,"['real 0.27', 'user 0.04', 'sys 0.05']",74.0,0.03248300000000001,0.281175
2,25,1,"['real 0.26', 'user 0.05', 'sys 0.03']",,,
2,25,2,"['real 0.23', 'user 0.05', 'sys 0.04']",,,
2,25,3,"['real 0.26', 'user 0.04', 'sys 0.05']",,,
2,25,4,"['real 0.25', 'user 0.04', 'sys 0.04']",,,
2,25,5,"['real 0.23', 'user 0.04', 'sys 0.03']",,,
2,25,6,"['real 0.24', 'user 0.04', 'sys 0.05']",,,
2,25,7,"['real 0.26', 'user 0.04', 'sys 0.04']",,,
2,25,8,"['real 0.23', 'user 0.06', 'sys 0.02']",,,
2,25,9,"['real 0.25', 'user 0.04', 'sys 0.05']",,,
2,25,10,"['real 0.25', 'user 0.04', 'sys 0.04']",,,
2,26,1,"['real 0.26', 'user 0.04', 'sys 0.04']",,,
2,26,2,"['real 0.28', 'user 0.03', 'sys 0.05']",,,
2,26,3,,,,
2,26,4,"['real 0.26', 'user 0.03', 'sys 0.05']",,,
2,26,5,"['real 0.25', 'user 0.04', 'sys 0.05']",,,
2,26,6,"['real 0.28', 'user 0.05', 'sys 0.04']",,,
2,26,7,"['real 0.28', 'user 0.02', 'sys 0.07']",,,
2,26,8,"['real 0.25', 'user 0.03', 'sys 0.06']",,,
2,26,9,"['real 0.25', 'user 0.02', 'sys 0.06']",,,
2,26,10,"['real 0.26', 'user 0.05', 'sys 0.03']",,,
2,27,1,"['real 0.25', 'user 0.05', 'sys 0.03']",2765.0,0.151383,0.369838
2,27,2,"['real 0.24', 'user 0.04', 'sys 0.04']",2765.0,0.155192,0.36052
2,27,3,"['real 0.27', 'user 0.02', 'sys 0.07']",2767.0,0.150867,0.386529
2,27,4,"['real 0.25', 'user 0.02', 'sys 0.06']",2765.0,0.152736,0.377493
2,27,5,"['real 0.26', 'user 0.04', 'sys 0.04']",2764.0,0.154687,0.378108
2,27,6,"['real 0.24', 'user 0.02', 'sys 0.06']",2766.0,0.14570499999999997,0.346815
2,27,7,"['real 0.27', 'user 0.03', 'sys 0.06']",2766.0,0.155225,0.373224
2,27,8,"['real 0.33', 'user 0.02', 'sys 0.06']",2767.0,0.153794,0.429811
2,27,9,"['real 0.25', 'user 0.03', 'sys 0.05']",2767.0,0.159453,0.380147
2,27,10,"['real 0.24', 'user 0.03', 'sys 0.04']",2769.0,0.148495,0.360577
2,28,1,"['real 0.26', 'user 0.04', 'sys 0.04']",71.0,0.02757000000000001,0.260232
2,28,2,"['real 0.26', 'user 0.04', 'sys 0.04']",67.0,0.03168499999999999,0.256125
2,28,3,"['real 0.26', 'user 0.04', 'sys 0.05']",68.0,0.041741,0.264332
2,28,4,"['real 0.27', 'user 0.04', 'sys 0.04']",67.0,0.031680000000000014,0.265612
2,28,5,"['real 0.31', 'user 0.03', 'sys 0.05']",69.0,0.05446200000000001,0.317541
2,28,6,"['real 0.28', 'user 0.06', 'sys 0.03']",68.0,0.028875999999999985,0.272076
2,28,7,"['real 0.29', 'user 0.04', 'sys 0.05']",70.0,0.034942,0.273515
2,28,8,"['real 0.26', 'user 0.04', 'sys 0.05']",68.0,0.028738000000000014,0.261182
2,28,9,"['real 0.26', 'user 0.03', 'sys 0.05']",68.0,0.028197,0.266285
2,28,10,"['real 0.26', 'user 0.02', 'sys 0.06']",71.0,0.02808399999999997,0.256337
2,29,1,"['real 0.24', 'user 0.04', 'sys 0.04']",,,
2,29,2,"['real 0.26', 'user 0.03', 'sys 0.05']",,,
2,29,3,"['real 0.26', 'user 0.04', 'sys 0.05']",,,
2,29,4,"['real 0.25', 'user 0.02', 'sys 0.06']",,,
2,29,5,"['real 0.25', 'user 0.03', 'sys 0.05']",,,
2,29,6,"['real 0.24', 'user 0.04', 'sys 0.05']",,,
2,29,7,"['real 0.26', 'user 0.06', 'sys 0.03']",,,
2,29,8,"['real 0.25', 'user 0.04', 'sys 0.04']",,,
2,29,9,"['real 0.25', 'user 0.03', 'sys 0.06']",,,
2,29,10,"['real 0.26', 'user 0.02', 'sys 0.06']",,,
2,30,1,"['real 0.26', 'user 0.04', 'sys 0.04']",,,
2,30,2,"['real 0.25', 'user 0.03', 'sys 0.05']",,,
2,30,3,"['real 0.25', 'user 0.04', 'sys 0.04']",,,
2,30,4,"['real 0.26', 'user 0.04', 'sys 0.05']",,,
2,30,5,"['real 0.26', 'user 0.02', 'sys 0.07']",,,
2,30,6,"['real 0.27', 'user 0.04', 'sys 0.04']",,,
2,30,7,"['real 0.25', 'user 0.04', 'sys 0.04']",,,
2,30,8,"['real 0.25', 'user 0.04', 'sys 0.05']",,,
2,30,9,"['real 0.27', 'user 0.04', 'sys 0.04']",,,
2,30,10,"['real 0.26', 'user 0.02', 'sys 0.06']",,,
2,31,1,"['real 0.25', 'user 0.05', 'sys 0.03']",2766.0,0.17096399999999998,0.374602
2,31,2,"['real 0.26', 'user 0.04', 'sys 0.04']",2766.0,0.14864,0.376587
2,31,3,"['real 0.29', 'user 0.03', 'sys 0.05']",2764.0,0.15589599999999998,0.409273
2,31,4,"['real 0.24', 'user 0.05', 'sys 0.03']",2764.0,0.15053200000000003,0.357503
2,31,5,"['real 0.24', 'user 0.04', 'sys 0.05']",2767.0,0.157882,0.370647
2,31,6,"['real 0.25', 'user 0.01', 'sys 0.07']",2768.0,0.15154399999999998,0.370859
2,31,7,"['real 0.26', 'user 0.04', 'sys 0.04']",2765.0,0.154645,0.386735
2,31,8,"['real 0.26', 'user 0.05', 'sys 0.03']",2764.0,0.159667,0.384293
2,31,9,"['real 0.26', 'user 0.06', 'sys 0.03']",2766.0,0.152755,0.376212
2,31,10,"['real 0.25', 'user 0.04', 'sys 0.05']",2766.0,0.16223800000000002,0.372097
2,32,1,"['real 0.25', 'user 0.03', 'sys 0.05']",69.0,0.02749600000000002,0.255765
2,32,2,"['real 0.26', 'user 0.04', 'sys 0.04']",67.0,0.023317999999999978,0.249268
2,32,3,"['real 0.27', 'user 0.04', 'sys 0.05']",69.0,0.02726999999999999,0.264356
2,32,4,"['real 0.26', 'user 0.03', 'sys 0.06']",72.0,0.029693999999999998,0.264291
2,32,5,"['real 0.26', 'user 0.05', 'sys 0.03']",67.0,0.025393,0.249603
2,32,6,"['real 0.27', 'user 0.04', 'sys 0.04']",68.0,0.024470999999999993,0.257581
2,32,7,"['real 0.27', 'user 0.01', 'sys 0.07']",68.0,0.02414299999999997,0.256138
2,32,8,"['real 0.27', 'user 0.04', 'sys 0.05']",69.0,0.039180999999999994,0.277065
2,32,9,"['real 0.26', 'user 0.04', 'sys 0.05']",69.0,0.025358999999999993,0.247605
2,32,10,"['real 0.28', 'user 0.04', 'sys 0.04']",71.0,0.028367999999999977,0.260418
2,33,1,"['real 0.31', 'user 0.01', 'sys 0.07']",,,
2,33,2,"['real 0.28', 'user 0.03', 'sys 0.05']",,,
2,33,3,"['real 0.34', 'user 0.06', 'sys 0.03']",,,
2,33,4,"['real 0.29', 'user 0.04', 'sys 0.05']",,,
2,33,5,"['real 0.27', 'user 0.04', 'sys 0.04']",,,
2,33,6,"['real 0.30', 'user 0.04', 'sys 0.04']",,,
2,33,7,"['real 0.27', 'user 0.03', 'sys 0.05']",,,
2,33,8,"['real 0.29', 'user 0.05', 'sys 0.03']",,,
2,33,9,"['real 0.30', 'user 0.04', 'sys 0.05']",,,
2,33,10,"['real 0.28', 'user 0.04', 'sys 0.04']",,,
2,34,1,"['real 0.29', 'user 0.05', 'sys 0.03']",,,
2,34,2,"['real 0.30', 'user 0.04', 'sys 0.04']",,,
2,34,3,"['real 0.30', 'user 0.04', 'sys 0.04']",,,
